condition,seed,attention_transform,supervised_heads,lambda_attn,top_k,macro_f1,accuracy,per_class_f1,best_val_f1,test_loss
softmax_all,123,softmax,all,1.0,24,0.6720745505608053,0.6782744282744283,"[0.7598393574297189, 0.5367132867132867, 0.7196710075394106]",0.6911540160280044,0.8087101422311845
softmax_all,42,softmax,all,1.0,24,0.6680341909948453,0.6772349272349273,"[0.750207468879668, 0.5235507246376812, 0.7303443794671864]",0.6698934741203323,1.0040564529659335
softmax_all,456,softmax,all,1.0,24,0.6686429144159906,0.6938669438669439,"[0.7656123276561233, 0.4827586206896552, 0.7575577949021932]",0.6828588104744923,0.7900516212232842
softmax_all_strong,123,softmax,all,2.0,24,0.663171446876491,0.6694386694386695,"[0.7458693941778127, 0.5327510917030568, 0.7108938547486033]",0.6874860170621698,0.798043883782773
softmax_all_strong,42,softmax,all,2.0,24,0.6706443420272133,0.6777546777546778,"[0.756578947368421, 0.5305039787798409, 0.7248500999333778]",0.668827785944819,0.9242227992489318
softmax_all_strong,456,softmax,all,2.0,24,0.6659384018077449,0.6886694386694386,"[0.7601593625498008, 0.4818276220145379, 0.7558282208588957]",0.6693768596437066,0.7740368835689607
softmax_top24,123,softmax,topk,1.0,24,0.6723381282615722,0.6782744282744283,"[0.7485943775100402, 0.5434027777777778, 0.7250172294968987]",0.6858663945704113,0.776453238380842
softmax_top24,42,softmax,topk,1.0,24,0.6678458737123831,0.6746361746361746,"[0.759592795614722, 0.5307557117750439, 0.7131891137473831]",0.6694913490785783,0.8060077950974142
softmax_top24,456,softmax,topk,1.0,24,0.6665810365931604,0.6876299376299376,"[0.752411575562701, 0.4918032786885246, 0.7555282555282555]",0.6808194987426756,0.7752150220196109
sparsemax_all,123,sparsemax,all,1.0,24,0.6748240113274923,0.6845114345114345,"[0.7505900865460268, 0.5345454545454545, 0.7393364928909952]",0.6847555428587637,0.8198889450839728
sparsemax_all,42,sparsemax,all,1.0,24,0.6722079701413004,0.6798336798336798,"[0.7567567567567568, 0.5348837209302325, 0.7249834327369119]",0.673332168279952,1.0091262965901824
